id,table,predict,truth,Missing information,Numerical extraction errors,Entity extraction errors,Redundant facts
scigen_dev_11,"[BOLD] Training data [BOLD] Add [BOLD] Miss [BOLD] Wrong [BOLD] Disfl
 0  Original 0 22 0  14
 1 Cleaned added 0 23 0  14
 2 Cleaned missing 0  1 0 2
 3 Cleaned 0  0 0 5","Base error analysis was performed per sample from the original test set, to inspect for any errors that were not in the training set. As with the AVL corpus, we presented the results in raw HTML format, without any preprocessing. The error analysis was done by our in-house systems trained with Librispeech. First of all, we found that added instances added to the training data lead to errors in the test set. For example, of the 100 instances, 22 were wrong, and 63 were wrong values. Secondly, of the 100 instances, we found that missing values lead to at least 2 errors. Although the gains from including the cleaned data in the feature space were small, they are still considerable.","The results in Table 4 confirm the findings of the automatic [CONTINUE] metrics: systems trained on the fully cleaned set or the set with cleaned missing slots have nearperfect performance, with the fully-cleaned one showing a few more slight disfluencies than the other. The systems trained on the original data or with cleaned added slots clearly perform worse in terms of both semantic accuracy and fluency. All fluency problems we found were very slight and no added or wrong-valued slots were found, so missed slots are the main problem.",1,1,1,1
scigen_dev_12,"[BOLD] Model [BOLD] External B
 0 Seq2SeqK (Konstas et al., 2017 )  -  22.0
 1 GraphLSTM (Song et al., 2018 )  -  23.3
 2  GCNSEQ (Damonte and Cohen, 2019 )  -  24.4
 3 DCGCN(single)  -  25.9
 4 DCGCN(ensemble)  - [BOLD] 28.2
 5 TSP (Song et al., 2016 )  ALL  22.4
 6  PBMT (Pourdamghani et al., 2016 )  ALL  26.9
 7  Tree2Str (Flanigan et al., 2016 )  ALL  23.0
 8  SNRG (Song et al., 2017 )  ALL  25.6
 9 Seq2SeqK (Konstas et al., 2017 ) 0.2M  27.4
 10  GraphLSTM (Song et al., 2018 ) 0.2M  28.2
 11  DCGCN(single) 0.1M  29.0
 12  DCGCN(single) 0.2M [BOLD] 31.6
 13  Seq2SeqK (Konstas et al., 2017 ) 2M  32.3
 14  GraphLSTM (Song et al., 2018 ) 2M  33.6
 15  Seq2SeqK (Konstas et al., 2017 )  20M  33.8
 16  DCGCN(single) 0.3M  33.2
 17  DCGCN(ensemble) 0.3M [BOLD] 35.3","We also evaluate our models directly on AMR15, without any use of external Gigaword sentences as auto-parsed data. Our single model achieves the best single-model score, beating more than 10% more than the previous state-of-the-art systems without any external text. Moreover, we also test thedcGCN(ensemble) model by averaging the results of 7 single models. The results show that thedcGCN(ensemble) model performs better than thedcGCN(single) model, which verifies the effectiveness of our GCN model.","Moreover, we compare our DCGCN(single) and DCGCN(ensemble) model with the state-of-the-art semi-supervised models on the AMR15 test set (Table 3), including non-neural methods such as TSP (Song et al., 2016), PBMT (Pourdamghani et al., 2016), Tree2Str (Flanigan et al., 2016) and SNRG (Song et al., 2017). All these non-neural models train language models on the whole Gigaword corpus. Our ensemble model gives 28.2 BLEU points without external data, which is better than them. Following Konstas et al. (2017); Song et al. (2018), we also evaluate our model using external Gigaword sentences as training data. We first use the additional data to pretrain the model, then finetune it on the gold data. Using additional 0.1M data, the single DCGCN model achieves a BLEU score of 29.0, which is higher than Seq2SeqK (Konstas et al., 2017) and GraphLSTM (Song et al., 2018) trained with 0.2M additional data. When using the same amount of 0.2M data, the performance of DCGCN is 4.2 and 3.4 BLEU points higher than Seq2SeqK and GraphLSTM. DCGCN model is able to achieve a competitive BLEU points (33.2) by using 0.3M external data, while GraphLSTM achieves a score of 33.6 by using 2M data and Seq2SeqK achieves a score of 33.8 by using 20M data. These results show that our model is more effective in terms of using automatically generated AMR graphs. Using 0.3M additional data, our ensemble model achieves the new state-of-the-art result of 35.3 BLEU points.",0,0,0,0
scigen_dev_13,"[BOLD] Model [BOLD] T #P B C
 0 Seq2SeqB (Beck et al., 2018 ) S  28,4M  21.7  49.1
 1 GGNN2Seq (Beck et al., 2018 ) S  28.3M  23.3  50.4
 2 Seq2SeqB (Beck et al., 2018 ) E 142M  26.6  52.5
 3 GGNN2Seq (Beck et al., 2018 ) E 141M  27.5  53.5
 4 DCGCN (ours) S [BOLD] 19.1M  27.9  57.3
 5 DCGCN (ours) E  92.5M [BOLD] 30.4 [BOLD] 59.6","In this section, we show the results of our model and the baseline models on AMR17. The first thing to note is that our DCGCN consistently outperforms the GCN baselines, which demonstrates the effectiveness of our model design. For example, in the case of the vanilla GCN, the DCGCN achieves 19.1 BLEU points, while the baseline achieves only 23.3 BLEU points. In other words, more than half of the sentences generated by the DCGCN model are paraphrased. This implies that the global information incorporated by the GCN model is crucial for the paraphrase detection. The second thing to note is that the performance of the baseline models is influenced by the complexity of the sentences. The GCN model reduces the complexity by 17.3 points from the baseline model. Although the DCGCN model also outperforms the baseline GCNs, the improvement is much smaller than that from the GCN models. We suggest that the GCN models with more GCN layers can further improve the performance, which is beyond the scope of this work.","Table 2 shows the results on AMR17. Our single model achieves 27.6 BLEU points, which is the new state-of-the-art result for single models. In particular, our single DCGCN model consistently outperforms Seq2Seq models by a significant margin when trained without external resources. For example, the single DCGCN model gains 5.9 more BLEU points than the single models of Seq2SeqB on AMR17. These results demonstrate the importance of explicitly capturing the graph structure in the encoder. In addition, our single DCGCN model obtains better results than previous ensemble models. For example, on AMR17, the single DCGCN model is 1 BLEU point higher than the ensemble model of Seq2SeqB. Our model requires substantially fewer parameters, e.g., the parameter size is only 3/5 and 1/9 of those in GGNN2Seq and Seq2SeqB, respectively. The ensemble approach based on combining five DCGCN models initialized with different random seeds achieves a BLEU score of 30.4 and a CHRF++ score of 59.6. Under the same setting, our model also consistently outperforms graph encoders based on recurrent neural networks or gating mechanisms. For GGNN2Seq, our single model is 3.3 and 0.1 BLEU points higher than their single and ensemble models, respectively. We also have similar observations in term of CHRF++ scores for sentence-level evaluations. DCGCN also outperforms GraphLSTM by 2.0 BLEU points in the fully supervised setting as shown in Table 3. Note that GraphLSTM uses char-level neural represen [CONTINUE] tations and pretrained word embeddings, while our model solely relies on word-level representations with random initializations. This empirically shows that compared to recurrent graph encoders, DCGCNs can learn better representations for graphs. For GCNSEQ, our single models are 3.1 and 1.3 BLEU points higher than their models trained on AMR17 and AMR15 dataset, respectively. These results demonstrate that DCGCNs are able to capture contextual information without relying on additional RNNs.",1,1,0,0
scigen_dev_14,"[BOLD] Model [BOLD] Type [BOLD] English-German #P [BOLD] English-German B [BOLD] English-German C [BOLD] English-Czech #P [BOLD] English-Czech B [BOLD] English-Czech C
 0 BoW+GCN (Bastings et al., 2017 ) Single - 12.2  -  - 7.5 -
 1 CNN+GCN (Bastings et al., 2017 ) Single - 13.7  -  - 8.7 -
 2 BiRNN+GCN (Bastings et al., 2017 ) Single - 16.1  -  - 9.6 -
 3  PB-SMT (Beck et al., 2018 ) Single - 12.8 43.2  - 8.6  36.4
 4  Seq2SeqB (Beck et al., 2018 ) Single 41.4M 15.5 40.8  39.1M 8.9  33.8
 5  GGNN2Seq (Beck et al., 2018 ) Single 41.2M 16.7 42.4  38.8M 9.8  33.3
 6  DCGCN (ours) Single [BOLD] 29.7M  [BOLD] 19.0  [BOLD] 44.1  [BOLD] 28.3M [BOLD] 12.1 [BOLD] 37.1
 7  Seq2SeqB (Beck et al., 2018 ) Ensemble  207M 19.0 44.1 195M  11.3  36.4
 8  GGNN2Seq (Beck et al., 2018 ) Ensemble  206M 19.6 45.1 194M  11.7  35.9
 9  DCGCN (ours) Ensemble  [BOLD] 149M  [BOLD] 20.5  [BOLD] 45.8 [BOLD] 142M [BOLD] 13.1 [BOLD] 37.8","As can be seen, DCGCN achieves the best performance in terms of all the evaluation metrics. The results show that the proposed model achieves much better performance than the other baselines. In particular, we outperform the current state of the art PBMT model by a large margin, without using any ensembles. More importantly, DCGCN attains the results by more than 5% in terms of BLEU and C compared to the current state of the art.","Table 4 shows the results for the EnglishGerman (En-De) and English-Czech (En-Cs) translation tasks. BoW+GCN, CNN+GCN and BiRNN+GCN refer to employing the following encoders with a GCN layer on top respectively: 1) a bag-of-words encoder, 2) a one-layer CNN, 3) a bidirectional RNN. PB-SMT is the phrase-based statistical machine translation model using Moses (Koehn et al., 2007). Our single model DCGCN(single) achieves 19.0 and 12.1 BLEU points on the En-De and EnCs tasks, respectively, significantly outperforming all the single models. For example, compared to the best GCN-based model (BiRNN+GCN), our single DCGCN model surpasses it by 2.7 and 2.5 BLEU points on the En-De and En-Cs tasks, respectively. Our models DCGCN(single) and DCGCN(ensemble)consist of full GCN layers, removing the burden of employing a recurrent encoder to extract non-local contextual information in the bottom layers. Compared to non-GCN models, our single DCGCN model is 2.2 and 1.9 BLEU points higher than the current state-of-theart single model (GGNN2Seq) on the En-De and En-Cs translation tasks, respectively. In addition, our single model is comparable to the ensemble results of Seq2SeqB and GGNN2Seq, while the number of parameters of our models is only about 1/6 of theirs. Additionally, the ensemble DCGCN models achieve 20.5 and 13.1 BLEU points on the En-De and En-Cs tasks, respectively. Our ensemble results are significantly higher than those of the state-of-the-art syntax-based ensemble models reported by GGNN2Seq (En-De: 20.5 v.s. 19.6; En-Cs: 13.1 v.s. 11.7 in terms of BLEU).",0,0,0,0
scigen_dev_15,"[ITALIC] Block [ITALIC] n [ITALIC] m B C
 0  1 1 1  17.6  48.3
 1  1 1 2  19.2  50.3
 2  1 2 1  18.4  49.1
 3  1 1 3  19.6  49.4
 4  1 3 1  20.0  50.5
 5  1 3 3  21.4  51.0
 6  1 3 6  21.8  51.7
 7  1 6 3  21.7  51.5
 8  1 6 6  22.0  52.1
 9  2 3 6 [BOLD] 23.5  53.3
 10 2 6 3  23.3 [BOLD] 53.4
 11 2 6 6  22.0  52.1","To better understand the effect of model architecture size, we ran experiments with our best trained models on the AMR15 development set. In our experiments, we vary the number of layers inside DCGCN sub-blocks. Results show that the model with more layers is able to achieve better performance for all three evaluation metrics. However, the performance is usually slightly degraded when deeper sub-blocks are used. This is probably because the DCGCN sub-blocks are able to capture more structural characteristics of speech segments that are more useful for MT task than long-distance dependencies.","Layers in the sub-block. Table 5 shows the effect of the number of layers of each sub-block on the AMR15 development set. DenseNets (Huang et al., 2017) use two kinds of convolution filters: 1 × 1 and 3 × 3. Similar to DenseNets, we choose the values of n and m for layers from [1, 2, 3, 6]. We choose this value range by considering the scale of non-local nodes, the abstract information at different level and the calculation efficiency. For brevity, we only show representative configurations. We first investigate DCGCN with one block. In general, the performance increases when we gradually enlarge n and m. For example, when n=1 and m=1, the BLEU score is 17.6; when n=6 and m=6, the BLEU score becomes 22.0. We observe that the three settings (n=6, m=3), (n=3, m=6) and (n=6, m=6) give similar results for both 1 DCGCN block and 2 DCGCN blocks. Since the first two settings contain less parameters than the third setting, it is reasonable to choose either (n=6, m=3) or (n=3, m=6). For later experiments, we use (n=6, m=3).",0,0,0,0
scigen_dev_16,"[BOLD] GCN +RC (2)  B 16.8  C 48.1 [BOLD] GCN +RC+LA (2)  B 18.3  C 47.9
 0 +RC (4)  18.4  49.6 +RC+LA (4)  18.0  51.1
 1 +RC (6)  19.9  49.7 +RC+LA (6)  21.3  50.8
 2 +RC (9) [BOLD] 21.1  50.5 +RC+LA (9) [BOLD] 22.0  52.6
 3  +RC (10)  20.7 [BOLD] 50.7  +RC+LA (10)  21.2 [BOLD] 52.9
 4  DCGCN1 (9)  22.9  53.0  DCGCN3 (27)  24.8  54.7
 5 DCGCN2 (18)  24.2  54.4  DCGCN4 (36) [BOLD] 25.5 [BOLD] 55.4","As one can see from the table, our proposed model (DCGCN2) outperforms the baselines by a large margin. Moreover, we have the following observations: (i) Adding residual connections and layer aggregations improves the performance of GCNs in general. Especially, for the GCN+RNN model, the i×(n+m) layer with CNN (DCGCN1) is better than the i×(n+3) layer with (DCGCN2) and (ii) the layer aggregator with (DCGCN4) is better than the layer aggregator with (DCGCN1). This validates that adding residual connections can further improve the performance of GCNs. This is intuitive because residual connections point to more abstract and comprehensive features, thus more layers can be used to aggregate them. (iii) On the top of that, layer aggregators with (DCGCN3) and (DCGCN2) are better than layer aggregators with (DCGCN1) and (DCGCN2). This proves the effectiveness of layer aggregators.","The first block in Table 6 shows the performance of our two baseline models: multi-layer GCNs with residual connections (GCN+RC) and multi-layer GCNs with both residual connections and layer aggregations (GCN+RC+LA). In general, increasing the number of GCN layers from 2 to 9 boosts the model performance. However, when the layer number exceeds 10, the performance of both baseline models start to drop. For example, GCN+RC+LA (10) achieves a BLEU score of 21.2, which is worse than GCN+RC+LA (9). In preliminary experiments, we cannot manage to train very deep GCN+RC and GCN+RC+LA models. In contrast, our DCGCN models can be trained using a large number of layers. For example, DCGCN4 contains 36 layers. When we increase the DCGCN blocks from 1 to 4, the model performance continues increasing on AMR15 development set. We therefore choose DCGCN4 for the AMR experiments. Using a similar method, DCGCN2 is selected for the NMT tasks. When the layer numbers are 9, DCGCN1 is better than GCN+RC in term of B/C scores (21.7/51.5 v.s. 21.1/50.5). GCN+RC+LA (9) is sightly better than DCGCN1. However, when we set the number to 18, GCN+RC+LA achieves a BLEU score of 19.4, which is significantly worse than the BLEU score obtained by DCGCN2 (23.3). We also try GCN+RC+LA (27), but it does not converge. In conclusion, these results above can show the robustness and effectiveness of our DCGCN models.",1,1,0,0
scigen_dev_17,"[BOLD] Model D  #P B C
 0 DCGCN(1) 300 10.9M  20.9  52.0
 1 DCGCN(2) 180 10.9M [BOLD] 22.2 [BOLD] 52.3
 2 DCGCN(2) 240 11.3M  22.8  52.8
 3 DCGCN(4) 180 11.4M [BOLD] 23.4 [BOLD] 53.4
 4 DCGCN(1) 420 12.6M  22.2  52.4
 5 DCGCN(2) 300 12.5M  23.8  53.8
 6 DCGCN(3) 240 12.3M [BOLD] 23.9 [BOLD] 54.1
 7 DCGCN(2) 360 14.0M  24.2 [BOLD] 54.4
 8 DCGCN(3) 300 14.0M [BOLD] 24.4  54.2
 9 DCGCN(2) 420 15.6M  24.1  53.7
 10  DCGCN(4) 300 15.6M [BOLD] 24.6 [BOLD] 54.8
 11  DCGCN(3) 420 18.6M  24.5  54.6
 12  DCGCN(4) 360 18.4M [BOLD] 25.5 [BOLD] 55.4","We finally compare DCGCN(4) with DCGCN(1) and DCGCN(2). The purpose of this experiment is to show that a smaller parameter budget leads to better results. For almost the same parameter budget, DCGCN(3) and DCGCN(4) achieve the best performance, and DCGCN(1) performs worse than DCGCN(2).","We compare DCGCN models with different layers under the same parameter budget. Table 7 shows the results. For example, when both DCGCN1 and DCGCN2 are limited to 10.9M parameters, DCGCN2 obtains 22.2 BLEU points, which is higher than DCGCN1 (20.9). Similarly, when DCGCN3 and DCGCN4 contain 18.6M and 18.4M parameters. DCGCN4 outperforms DCGCN3 by 1 BLEU point with a slightly smaller model. In general, we found when the parameter budget is the same, deeper DCGCN models can obtain better results than the shallower ones.",0,0,0,0
scigen_dev_18,"[BOLD] Model  B  C
 0  DCGCN4 25.5 55.4
 1  -{4} dense block 24.8 54.9
 2  -{3, 4} dense blocks 23.8 54.1
 3 -{2, 3, 4} dense blocks 23.2 53.1","To understand the effect of the dense blocks in the i-th block of our model, we performed an ablation study. We remove the dense blocks at all. We find that the result drops from 54.9 to 53.1 after removing the dense blocks. Further analysis shows that these drops are significant. It indicates that the i-th block has very high density.","Table 8 shows the ablation study of the level of density of our model DCGCN4. We use DCGCNs with 4 dense blocks as the full model. Then we remove dense connections gradually from the last block to the first block. In general, the performance of the model drops substantially as we remove more dense connections until it cannot converge without dense connections. The full model gives 25.5 BLEU points on the AMR15 dev set. After removing the dense connections in the last block, the BLEU score becomes 24.8. Without using the dense connections in the last two blocks, the score drops to 23.8. Furthermore, excluding the dense connections in the last three blocks only gives 23.2 BLEU points. Although these four models have the same number of layers, dense connections allow the model to achieve much better performance. If all the dense connections are not considered, the model does not coverage at all. These results indicate dense connections do play a significant role in our model.",0,0,0,0
scigen_dev_19,"[BOLD] Model B C
 0  DCGCN4  25.5  55.4
 1 Encoder Modules [EMPTY] [EMPTY]
 2 -Linear Combination  23.7  53.2
 3  -Global Node  24.2  54.6
 4  -Direction Aggregation  24.6  54.6
 5  -Graph Attention  24.9  54.7
 6 -Global Node&Linear Combination  22.9  52.4
 7 Decoder Modules [EMPTY] [EMPTY]
 8 -Coverage Mechanism  23.8  53.0","Ablation study. We perform ablation study to analyze the contribution of individual modules in the graph encoder and the LSTM decoder. For the encoder, we only replace the linear combination module, the global node selector and the coverage mechanism. We find that the linear combination module improves over the basic graph encoder by 0.8% on B and by 0.9% on C. For the LSTM decoder, we only replace the global and directional aggregation modules and the coverage mechanism by 0.3% and 0.7% on B and C, respectively. This shows that the two modules play different roles in the graph encoder.","Table 9 shows the results. For the encoder, we find that the linear combination and the global node have more contributions in terms of B/C scores. The results drop by 2/2.2 and 1.3/1.2 points respectively after removing them. Without these two components, our model gives a BLEU score of 22.6, which is still better than the best GCN+RC model (21.1) and the best GCN+RC+LA model (22.1). Adding either the global node or the linear combination improves the baseline models with only dense connections. This suggests that enriching input graphs with the global node and including the linear combination can facilitate GCNs to learn better information aggregations, producing more expressive graph representations. Results also show the linear combination is more effective than the global node. Considering them together further enhances the model performance. After removing the graph attention module, our model gives 24.9 BLEU points. Similarly, excluding the direction aggregation module leads to a performance drop to 24.6 BLEU points. The coverage mechanism is also effective in our models. Without the coverage mechanism, the result drops by 1.7/2.4 points for B/C scores.",0,0,0,0
scigen_dev_20,"Initialization Depth  BShift SubjNum Tense  CoordInv  Length  ObjNum  TopConst  SOMO  WC
 0  N(0,0.1)  29.7  71.5  82.0  78.5  60.1  80.5  76.3  74.7 [BOLD] 51.3  52.5
 1  Glorot  31.3 [BOLD] 72.3  81.8  78.7  59.4  81.3  76.6 [BOLD] 74.6  50.4  57.0
 2 Our paper [BOLD] 35.1  70.8 [BOLD] 82.0 [BOLD] 80.2 [BOLD] 61.8 [BOLD] 82.8 [BOLD] 79.7  74.2  50.7 [BOLD] 72.9","As it can be seen, our approach consistently outperforms the baselines on all tasks, thus establishing that it is a good choice for initialization.","To verify the effectiveness of our initialization strategy empirically, we evaluate it with the same experimental setup as described in Section 4. The only difference is the initialization strategy, where we include Glorot initialization (Glorot & Bengio, 2010) and the standard initialization from [CONTINUE] (0, 0.1). Table 7 shows the results on the probing tasks. While Glorot achieves slightly better results on BShift and TopConst, CMOW's ability to memorize word content is improved by a wide [CONTINUE] margin by our initialization strategy.",0,0,0,0
scigen_dev_21,"Dim  Method Depth  BShift SubjNum Tense  CoordInv  Length  ObjNum  TopConst  SOMO  WC
 0 400  CBOW/400  32.5  50.2  78.9  78.7  53.6  73.6  79.0  69.6  48.9  86.7
 1 400  CMOW/400 [BOLD] 34.4  68.8  80.1 [BOLD] 79.9 [BOLD] 59.8  81.9 [BOLD] 79.2 [BOLD] 70.7 [BOLD] 50.3  70.7
 2 400  H-CBOW  31.2  50.2  77.2  78.8  52.6  77.5  76.1  66.1  49.2 [BOLD] 87.2
 3 400  H-CMOW  32.3 [BOLD] 70.8 [BOLD] 81.3  76.0  59.6 [BOLD] 82.3  77.4  70.0  50.2  38.2
 4 784  CBOW/784  33.0  49.6  79.3  78.4  53.6  74.5  78.6  72.0  49.6 [BOLD] 89.5
 5 784  CMOW/784 [BOLD] 35.1 [BOLD] 70.8 [BOLD] 82.0  80.2 [BOLD] 61.8  82.8 [BOLD] 79.7  74.2 [BOLD] 50.7  72.9
 6 800  Hybrid  35.0 [BOLD] 70.8  81.7 [BOLD] 81.0  59.4 [BOLD] 84.4  79.0 [BOLD] 74.3  49.3  87.6
 7 - cmp. CBOW +6.1%  +42.7% +3% +3.3%  +10.8%  +13.3% +0.5% +3.2% -0.6% -2.1%
 8 - cmp. CMOW -0.3%  +-0% -0.4% +1% -3.9% +1.9% -0.9% +0.1% -2.8%  +20.9%","Our focus here is to compare the performance of hybrid and normal word embedding models, and not to develop a state-of-the-art performance on the task. As can be seen, although the CBOW and CMOW models have similar performance, the CBOW model obtains further improvements over the CMOW model. These improvements are on the syntactic tasks (SubjNum, CoordInv, TopConst, and WC) where the CBOW model is superior to the CMOW model. The largest gains come from the morphological tasks (SubjNum and CoordInv), where the CBOW model is superior to the CMOW model. However, we see that even on these tasks, the CBOW and CMOW models improve over the hybrid model.","We have trained five different models: CBOW and CMOW with d = 20 and d = 28, which lead to 400-dimensional and 784-dimensional word embeddings, respectively. We also trained the Hybrid CBOW-CMOW model with d = 20 for each component, so that the total model has 800 parameters per word in the lookup tables. We report the results of two more models: H-CBOW is the 400-dimensional CBOW component trained in Hybrid and H-CMOW is the respective CMOW component. Below, we compare the 800-dimensional Hybrid method to the 784-dimensional CBOW and CMOW models. [CONTINUE] Considering the linguistic probing tasks (see Table 1), CBOW and CMOW show complementary results. While CBOW yields the highest performance at word content memorization, CMOW outperforms CBOW at all other tasks. Most improvements vary between 1-3 percentage points. The difference is approximately 8 points for CoordInv and Length, and even 21 points for BShift. The hybrid model yields scores close to or even above the better model of the two on all tasks. In terms of relative numbers, the hybrid model improves upon CBOW in all probing tasks but WC and SOMO. The relative improvement averaged over all tasks is 8%. Compared to CMOW, the hybrid model shows rather small differences. The largest loss is by 4% on the CoordInv task. However, due to the large gain in WC (20.9%), the overall average gain is still 1.6%. We now compare the jointly trained H-CMOW and H-CBOW with their separately trained 400dimensional counterparts. We observe that CMOW loses most of its ability to memorize word content, while CBOW shows a slight gain. On the other side, H-CMOW shows, among others, improvements at BShift. [CONTINUE] Regarding the probing tasks, we observe that CMOW embeddings better encode the linguistic prop [CONTINUE] erties of sentences than CBOW. [CONTINUE] Due to joint training, our hybrid model learns to pick up the best features from CBOW and CMOW simultaneously. It enables both models to focus on their respective strengths. This can best be seen by observing that H-CMOW almost completely loses its ability to memorize word content. In return, H-CMOW has more capacity to learn other properties, as seen in the increase in performance at BShift and others. A complementary behavior can be observed for H-CBOW, whose scores on Word Content are increased. Consequently, with an 8% improvement on average, the hybrid model [CONTINUE] Word Content are increased. Consequently, with an 8% i is substantially more linguistically informed than CBOW.",0,0,0,0
scigen_dev_22,"Method  SUBJ  CR  MR  MPQA  MRPC  TREC  SICK-E  SST2  SST5 STS-B  SICK-R
 0  CBOW/784  90.0 [BOLD] 79.2 [BOLD] 74.0  87.1  71.6  85.6  78.9  78.5  42.1  61.0 [BOLD] 78.1
 1  CMOW/784  87.5  73.4  70.6 [BOLD] 87.3  69.6 [BOLD] 88.0  77.2  74.7  37.9  56.5  76.2
 2  Hybrid [BOLD] 90.2  78.7  73.7 [BOLD] 87.3 [BOLD] 72.7  87.6 [BOLD] 79.4 [BOLD] 79.6 [BOLD] 43.3 [BOLD] 63.4  77.8
 3 cmp. CBOW +0.2% -0.6% -0.4% +0.2% +1.5% +2.3% +0.6% +1.4% +2.9% +3.9% -0.4%
 4 cmp. CMOW +3.1% +7.2% +4.4% +0% +4.5% -0.5% +2.9% +6.7% +14.3  +12.2% +2.1%","The rows starting with “cmp.” show the relative change with respect to hybrid. Our proposed method is able to achieve large improvements in accuracy over the baselines, e.g., improvements of 7.2% in MRPC and 14.3% in SICK-E. Comparatively, the CBOW baseline achieves a similar improvement. This suggests that the CBOW model suffers more from the data sparsity problem than the hybrid model.","Table 2 shows the scores from the supervised downstream tasks. Comparing the 784-dimensional models, again, CBOW and CMOW seem to complement each other. This time, however, CBOW has the upperhand, matching or outperforming CMOW on all supervised downstream tasks except [CONTINUE] TREC by up to 4 points. On the TREC task, on the other hand, CMOW outperforms CBOW by 2.5 points. Our jointly trained model is not more than 0.8 points below the better one of CBOW and CMOW on any of the considered supervised downstream tasks. On 7 out of 11 supervised tasks, the joint model even improves upon the better model, and on SST2, SST5, and MRPC the difference is more than 1 point. The average relative improvement over all tasks is 1.2%. [CONTINUE] Our CMOW model produces sentence embeddings that are approximately at the level of fast [CONTINUE] Sent (Hill et al., 2016). Thus, CMOW is a reasonable choice as a sentence encoder. [CONTINUE] observe that CMOW embeddings better encode the linguistic propCMOW gets reasonably close to CBOW on some downstream tasks. [CONTINUE] However, CMOW does not in general supersede CBOW embeddings.",0,0,0,0
scigen_dev_23,"Method STS12 STS13 STS14 STS15 STS16
 0  CBOW  43.5 [BOLD] 50.0 [BOLD] 57.7 [BOLD] 63.2  61.0
 1  CMOW  39.2  31.9  38.7  49.7  52.2
 2  Hybrid [BOLD] 49.6  46.0  55.1  62.4 [BOLD] 62.1
 3 cmp. CBOW  +14.6% -8% -4.5% -1.5% +1.8%
 4 cmp. CMOW  +26.5%  +44.2% +42.4  +25.6%  +19.0%","The sub-tables show the relative improvement of our model with respect to hybrid on each of the datasets. Compared to CBOW, their performance is improved by 14.6%, -4.5%, and 1.8% on STS14, STS15, and STS16, respectively. Their results are also superior to hybrid, i.e., up to +26.5%, +44.2%, +25.6%, and +19.0% on the three datasets, respectively.","Regarding the unsupervised downstream tasks (Table 3), CBOW is clearly superior to CMOW on all datasets by wide margins. For example, on STS13, CBOW's score is 50% higher. The hybrid model is able to repair this deficit, reducing the difference to 8%. It even outperforms CBOW on two of the tasks, and yields a slight improvement of 0.5% on average over all unsupervised downstream tasks. However, the variance in relative performance is notably larger than on the supervised downstream tasks.",0,1,0,0
scigen_dev_24,"Initialization  SUBJ  CR  MR  MPQA  MRPC  TREC  SICK-E  SST2  SST5 STS-B  SICK-R
 0  N(0,0.1)  85.6  71.5  68.4  86.2 [BOLD] 71.6  86.4  73.7  72.3 [BOLD] 38.2  53.7  72.7
 1  Glorot  86.2 [BOLD] 74.4  69.5  86.5  71.4 [BOLD] 88.4  75.4  73.2 [BOLD] 38.2  54.1  73.6
 2 Our paper [BOLD] 87.5  73.4 [BOLD] 70.6 [BOLD] 87.3  69.6  88.0 [BOLD] 77.2 [BOLD] 74.7  37.9 [BOLD] 56.5 [BOLD] 76.2","The first two rows of the table show the results for the baseline and our implementation. We can see that glorot is better than n(0,0.1) on all tasks, which is consistent with the results on the validation set.","the success of our training schema for the CMOW model are two changes to the original word2vec training. First, our initialization strategy improved the downstream performance by 2.8% compared to Glorot initialization.",0,0,0,0
scigen_dev_25,"Method STS12 STS13 STS14 STS15 STS16
 0 CMOW-C  27.6  14.6  22.1  33.2  41.6
 1 CMOW-R [BOLD] 39.2 [BOLD] 31.9 [BOLD] 38.7 [BOLD] 49.7 [BOLD] 52.2
 2 CBOW-C [BOLD] 43.5  49.2 [BOLD] 57.9 [BOLD] 63.7 [BOLD] 61.6
 3 CBOW-R [BOLD] 43.5 [BOLD] 50.0  57.7  63.2  61.0","The results show that our CBOW-R method consistently outperforms the COW-C method across all the datasets. We observe that the performance of CBOW-R is comparable to that of the COW-C method across all the datasets.","alization strategy improved the downstream performance by 2.8% compared Secondly, by choosing the target word of the objective at random, the perfor [CONTINUE] mance of CMOW on downstream tasks improved by 20.8% on average. [CONTINUE] and on all unsupervised downstream tasks",0,0,1,0
